cve.id,cve.published,baseSeverityV31,cve.lastModified,cve.vulnStatus
CVE-2008-0061,2008-01-03T22:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0089,2008-01-04T01:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0090,2008-01-04T01:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0091,2008-01-04T01:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0092,2008-01-04T01:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0093,2008-01-08T01:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0094,2008-01-08T02:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0095,2008-01-08T02:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0096,2008-01-08T02:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0097,2008-01-08T02:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0098,2008-01-08T02:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0099,2008-01-08T02:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0100,2008-01-08T02:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0101,2008-01-08T02:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0129,2008-01-08T11:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0130,2008-01-08T11:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0131,2008-01-08T11:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0132,2008-01-08T11:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0133,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0134,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0135,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0136,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0137,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0138,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0139,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0140,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0141,2008-01-08T19:46:00.000,HIGH,2026-04-23T00:35:47.467,Modified
CVE-2008-0142,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0143,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0144,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0145,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0146,2008-01-08T19:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0003,2008-01-08T20:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0147,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0148,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0149,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0150,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0151,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0152,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0153,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0154,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0155,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0156,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0157,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0158,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0159,2008-01-09T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0184,2008-01-09T22:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0185,2008-01-09T22:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0186,2008-01-09T22:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0187,2008-01-09T22:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0127,2008-01-10T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0190,2008-01-10T00:46:00.000,,2026-04-23T00:35:47.467,Modified
CVE-2008-0191,2008-01-10T00:46:00.000,,2026-04-23T00:35:47.467,Modified
