cve.id,cve.published,baseSeverityV31,cve.lastModified,cve.vulnStatus
CVE-1999-0095,1988-10-01T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-0082,1988-11-11T05:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1471,1989-01-01T05:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1122,1989-07-26T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1467,1989-10-26T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1506,1990-01-29T05:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-0084,1990-05-01T04:00:00.000,HIGH,2026-04-16T00:27:16.627,Modified
CVE-2000-0388,1990-05-09T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-0209,1990-08-14T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1198,1990-10-03T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1391,1990-10-03T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1392,1990-10-03T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1057,1990-10-25T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1554,1990-10-31T05:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1197,1990-12-20T05:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1115,1990-12-31T05:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1258,1991-01-15T05:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1438,1991-02-22T05:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1211,1991-03-27T05:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1212,1991-03-27T05:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1194,1991-05-01T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1193,1991-05-14T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1123,1991-05-20T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1034,1991-05-23T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1415,1991-08-23T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-1090,1991-09-10T04:00:00.000,,2026-04-16T00:27:16.627,Modified
CVE-1999-0498,1991-09-27T04:00:00.000,,2026-04-16T00:27:16.627,Modified
